Subject,Start Date,Start Time,End Date,End Time,All day event,Description
"William Law, Priest, 1761 [6] White",2018-04-10,,,,TRUE,"Week of Easter 2
William Law, Priest, 1761 [6] White
Tuesday after Second Sunday of Easter, White

DAILY EUCHARIST
Acts 4:32-37
Psalm 93
John 3:7-15

DAILY PRAYER: New Life: The Lord
Exodus 15:1-21
1 Peter 1:13-25
John 14:18-31"
"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White",2018-04-11,,,,TRUE,"Week of Easter 2
George Augustus Selwyn, Bishop and Missionary, 1878 [6] White
Wednesday after Second Sunday of Easter

DAILY EUCHARIST
Acts 5:17-26
Psalm 34:1-8
John 3:16-21

DAILY PRAYER: New Life: The Lord
Exodus 15:22 - 16:10
1 Peter 2:1-10
John 15:1-11"
"William Forbes, Bishop, 1634 [6] White",2018-04-12,,,,TRUE,"Week of Easter 2
William Forbes, Bishop, 1634 [6] White
Thursday after Second Sunday of Easter, White

DAILY EUCHARIST
Acts 5:27-33
Psalm 34:15-22
John 3:31-36

DAILY PRAYER: New Life: The Lord
Exodus 16:10-22
1 Peter 2:11-25
John 15:12-27"
Friday after Second Sunday of Easter,2018-04-13,,,,TRUE,"Week of Easter 2
Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red (translated from 9 April)
Friday after Second Sunday of Easter, White

DAILY EUCHARIST
Acts 5:34-42
Psalm 27:1-8, 17-18
John 6:1-15

DAILY PRAYER: New Life: The Lord
Exodus 16:23-36
1 Peter 3:13 - 4:6
John 16:1-15"
Saturday after Second Sunday of Easter,2018-04-14,,,,TRUE,"Week of Easter 2
Saturday after Second Sunday of Easter, White

DAILY EUCHARIST
Acts 6:1-7
Psalm 331-5, 18-22
John 6:16-21

DAILY PRAYER: New Life: The Lord
Exodus 17:1-16
1 Peter 4:7-19
John 16:16-33"
Third Sunday of Easter [1] White; SPB Second Sunday after Easter,2018-04-15,,,,TRUE,"Week of Easter 3
Third Sunday of Easter [1] White
SPB Second Sunday after Easter

EUCHARIST
Acts 3:12-19
Psalm 4
1 John 3:1-7
Luke 24:36b-48

DAILY PRAYER: New Life: The Lord
Deuteronomy 7:7-13
Revelation 2:1-11
Luke 16:19-31

ALTERNATIVE PSALMS
Morning: Psalm 48
Evening: Psalm 142"
"Magnus of Orkney, Martyr, c.1116 [6] Red",2018-04-16,,,,TRUE,"Week of Easter 3
Magnus of Orkney, Martyr, c.1116 [6] Red
Monday after Third Sunday of Easter, White

DAILY EUCHARIST
Acts 6:8-15
Psalm 119:161-168
John 6:22-29

DAILY PRAYER: New Life: The Lord
Exodus 18:(1-12), 13-27
1 Peter 5:1-14
Matthew (1:1-17); 3:1-6"
"Donnan, Abbot and Companions, Martyrs, c.617 [6] Red",2018-04-17,,,,TRUE,"Week of Easter 3
Donnan, Abbot and Companions, Martyrs, c.617 [6] Red
Tuesday after Third Sunday of Easter, White

DAILY EUCHARIST
Acts 7:51 - 8:1a
Psalm 31:1-5
John 6:30-35

DAILY PRAYER: New Life: The Lord
Exodus 19:1-16
Colossians 1:1-14
Matthew 3:7-12"
Wednesday after Third Sunday of Easter,2018-04-18,,,,TRUE,"Week of Easter 3
Wednesday after Third Sunday of Easter, White

DAILY EUCHARIST
Acts 8:1b-8
Psalm 66:1-6
John 6:35-40

DAILY PRAYER: New Life: The Lord
Exodus 19:16-25
Colossians 1:15-23
Matthew 3:13-17"
Thursday after Third Sunday of Easter,2018-04-19,,,,TRUE,"Week of Easter 3
Thursday after Third Sunday of Easter, White

DAILY EUCHARIST
Acts 8:26-40
Psalm 66:7-8, 14-18
John 6:44-51

DAILY PRAYER: New Life: The Lord
Exodus 20:1-21
Colossians 1:24 - 2:7
Matthew 4:1-11"
"Maelrubha of Applecross, Abbot, 722 [6] White",2018-04-20,,,,TRUE,"Week of Easter 3
Maelrubha of Applecross, Abbot, 722 [6] White
Friday after Third Sunday of Easter, White

DAILY EUCHARIST
Acts 9:1-20
Psalm 117
John 6:52-59

DAILY PRAYER: New Life: The Lord
Exodus 24:1-18
Colossians 2:8-23
Matthew 4:12-17"
"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",2018-04-21,,,,TRUE,"Week of Easter 3
Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White
Saturday after Third Sunday of Easter, White

DAILY EUCHARIST
Acts 9:31-42
Psalm 116:10-17
John 6:60-69

DAILY PRAYER: New Life: The Lord
Exodus 25:1-22; (28:1-4, 30-38)
Colossians 3:1-17
Matthew 4:18-25"
Fourth Sunday of Easter [1] White; SPB Third Sunday after Easter,2018-04-22,,,,TRUE,"Week of Easter 4
Fourth Sunday of Easter [1] White
SPB Third Sunday after Easter

EUCHARIST
Acts 4:5-12
Psalm 23
1 John 3:16-24
John 10:11-18

DAILY PRAYER: New Life: The Lord
Exodus 16:4-15
Revelation 2:12-17
John 6:30-40

ALTERNATIVE PSALMS
Morning: Psalm 29:1-10
Evening: Psalm 81:8-16"
"George, Patron of England, Martyr, c.303 [6] Red (Ordination of the Rt Revd Dr Gregor Duncan, Bishop of Glasgow and Galloway, 2010)",2018-04-23,,,,TRUE,"Week of Easter 4
George, Patron of England, Martyr, c.303 [6] Red
Monday after Fourth Sunday of Easter, White
(Ordination of the Rt Revd Dr Gregor Duncan, Bishop of Glasgow and Galloway, 2010)

DAILY EUCHARIST
Acts 11:1-18
Psalm 43
John 10:1-10

DAILY PRAYER: New Life: The Lord
Exodus 32:1-20
Colossians 3:18 - 4:6, (7-18)
Matthew 5:1-10"
Tuesday after Fourth Sunday of Easter,2018-04-24,,,,TRUE,"Week of Easter 4
Tuesday after Fourth Sunday of Easter, White

DAILY EUCHARIST
Acts 11:19-26
Psalm 87
John 10:22-30

DAILY PRAYER: New Life: The Lord
Exodus 32:21-34
1 Thessolonians 1:1-10
Matthew 5:11-16"
"Mark, Evangelist [4] Red",2018-04-25,,,,TRUE,"Mark, Evangelist [4] Red

EUCHARIST
Isaiah 52:7-10
Psalm 2:7-13 or Psalm 119:9-16
Ephesians 4:7-16
Mark 1:1-15 or Mark 13:5-13

MORNING PRAYER: Festivals
Sirach 2:1-11
Acts 12:25 - 13:3

EVENING PRAYER: Festivals
Isaiah 62:6-12
2 Timothy 4:1-11

---

Week of Easter 4
Wednesday after Fourth Sunday of Easter, White

DAILY EUCHARIST
Acts 12:24 - 13:5a
Psalm 67
John 12:44-50

DAILY PRAYER: New Life: The Lord
Exodus 33:1-23
1 Thessolonians 2:-12
Matthew 5:17-20"
"Albert Ernest Laurie, Priest, 1937 [6] White",2018-04-26,,,,TRUE,"Week of Easter 4
Albert Ernest Laurie, Priest, 1937 [6] White
Thursday after Fourth Sunday of Easter, White

DAILY EUCHARIST
Acts 13:13-25
Psalm 89:1-2, 19-26
John 13:16-20

DAILY PRAYER: New Life: The Lord
Exodus 34:1-17
1 Thessalonians 2:13-20
Matthew 5:21-26"
Friday after Fourth Sunday of Easter,2018-04-27,,,,TRUE,"Week of Easter 4
Friday after Fourth Sunday of Easter, White

DAILY EUCHARIST
Acts 13:26-33
Psalm 2
John 14:1-7

DAILY PRAYER: New Life: The Lord
Exodus 34:18-35
1 Thessalonians 3:1-13
Matthew 5:27-37"
Saturday after Fourth Sunday of Easter,2018-04-28,,,,TRUE,"Week of Easter 4
Saturday after Fourth Sunday of Easter, White

DAILY EUCHARIST
Acts 13:44-52
Psalm 98
John 14:7-14

DAILY PRAYER: New Life: The Lord
Exodus 40:18-38
1 Thessalonians 4:1-12
Matthew 5:38-48"
Fifth Sunday of Easter [1] White; SPB Fourth Sunday after Easter,2018-04-29,,,,TRUE,"Week of Easter 5
Fifth Sunday of Easter [1] White
SPB Fourth Sunday after Easter

EUCHARIST
Acts 8:26-40
Psalm 22:25-31
1 John 4:7-21
John 15:1-8

DAILY EUCHARIST: New Life: The Lord
Isaiah 60:1-14
Revelation 3:1-13
Mark 16:9-16

ALTERNATIVE PSALMS
Morning: Psalm 147:1-11
Evening: Psalm 96"
"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White (translated from 29 April)",2018-04-30,,,,TRUE,"Week of Easter 5
Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White (translated from 29 April)
Monday after Fifth Sunday of Easter, White

DAILY EUCHARIST
Acts 14: 5-18
Psalm 115:1-12
John 14:21-26

DAILY EUCHARIST: New Life: The Lord
Leviticus 8:1-13, 30-36
1 Thessalonians 4:13-18
Matthew 6:1-6, 16-18"
"Philip and James, Apostles [4] Red",2018-05-01,,,,TRUE,"Philip and James, Apostles [4] Red

EUCHARIST
Isaiah 30:18-21
Psalm 15 or Psalm 119:1-8
2 Corinthians 4:1-6 or Ephesians 1:3-10
John 14:(1-5), 6-14

MORNING PRAYER: Festivals
Job 23:1-12
John 1:43-51

EVENING PRAYER: Festivals
Proverbs 4:7-18
John 12:20-26

---

Week of Easter 5
Tuesday after Fifth Sunday of Easter, White

DAILY EUCHARIST
Acts 14: 19-27
Psalm 145:10-13, 22
John 14:27-31a

DAILY EUCHARIST: New Life: The Lord
Leviticus 16:1-19
1 Thessalonians 5:1-11
Matthew 6:7-15"
"Athanasius, Bishop and Teacher of the Faith, 373 [6] White",2018-05-02,,,,TRUE,"Week of Easter 5
Athanasius, Bishop and Teacher of the Faith, 373 [6] White
Wednesday after Fifth Sunday of Easter, White

DAILY EUCHARIST
Acts 15:1-6
Psalm 122
John 15:1-8

DAILY EUCHARIST: New Life: The Lord
Leviticus 16:20-34
1 Thessalonians 5:12-28
Matthew 6:19-24"
Thursday after Fifth Sunday of Easter,2018-05-03,,,,TRUE,"Week of Easter 5
Thursday after Fifth Sunday of Easter, White

DAILY EUCHARIST
Acts 15:7-21
Psalm 96:1-3, 10-13
John 15:9-11

DAILY EUCHARIST: New Life: The Lord
Leviticus 19:1-18
2 Thessalonians 1:1-12
Matthew 6:25-34"
Friday after Fifth Sunday of Easter,2018-05-04,,,,TRUE,"Week of Easter 5
Friday after Fifth Sunday of Easter, White

DAILY EUCHARIST
Acts 15:22-31
Psalm 57:6-11
John 15:12-17

DAILY EUCHARIST: New Life: The Lord
Leviticus 19:26-37
2 Thessalonians 2:1-17
Matthew 7:1-12"
Saturday after Fifth Sunday of Easter,2018-05-05,,,,TRUE,"Week of Easter 5
Saturday after Fifth Sunday of Easter, White

DAILY EUCHARIST
Acts 16:1-10
Psalm 100
John 15:18-21

DAILY EUCHARIST: New Life: The Lord
Leviticus 23:22-44
2 Thessalonians 3:1-18
Matthew 7:13-21"
Sixth Sunday of Easter [1] White; SPB Fifth Sunday after Easter,2018-05-06,,,,TRUE,"Week of Easter 6
Sixth Sunday of Easter [1] White
SPB Fifth Sunday after Easter

EUCHARIST
Acts 10:44-48
Psalm 98
1 John 5:1-6
John 15:9-17

DAILY PRAYER: New Life: The Lord
Song of Solomon 4:16 - 5:2; 8:6-7
Revelation 3:14-22
Luke 22:24-30

ALTERNATIVE PSALMS
Morning: Psalm 87 or Psalm 36:5-10
Evening: Psalm 45"
Monday after Sixth Sunday of Easter (Rogation Day),2018-05-07,,,,TRUE,"Week of Easter 6
Monday after Sixth Sunday of Easter , White

DAILY EUCHARIST
Acts 16:11-15
Psalm 149
John 15:26 - 16:4a

DAILY PRAYER: New Life: The Lord
Leviticus 25:1-17
Colossians 1:9-14
Matthew 13:1-16

---

Rogation Day (Monday before Ascension Day)
Deuteronomy 26:1-11
Psalm 65
2 Corinthians 9:6-15
Luke 17:11-19"
"Julian of Norwich, c.1413 [6] White (Rogation Day)",2018-05-08,,,,TRUE,"Week of Easter 6
Julian of Norwich, c.1413 [6] White
Tuesday after Sixth Sunday of Easter, White

DAILY EUCHARIST
Acts 16:19b-34
Psalm 138
John16:4b-11

DAILY PRAYER: New Life: The Lord
Leviticus 25:35-55
1 Timothy 2:1-6
Matthew 13:18-23

---

Rogation Day (Tuesday before Ascension Day)
Joel 2:21-27
Psalm 100
Philippians 4:4-9
John 6:25-35"
Wednesday after Sixth Sunday of Easter (Rogation Day),2018-05-09,,,,TRUE,"Week of Easter 6
Wednesday after Sixth Sunday of Easter, White

DAILY EUCHARIST
Acts 17:15, 22 - 18:8
Psalm 148
John 16:12-20

MORNING PRAYER: New Life: The Lord
Morning:
Leviticus 26:1-20, (27-42)
Ephesians 1:1-10
Matthew 22:41-46

EVENING PRAYER: New Life: The Lord
2 Kings 2:1-15
Revelation 5:1-14

---

Rogation Day (Wednesday before Ascension Day)
Deuteronomy 8:7-18
Psalm 126
1 Timothy 2:1-7
Matthew 6:25-33"
Ascension Day [1] White,2018-05-10,,,,TRUE,"Ascension Day [1] White
Thursday after Sixth Sunday of Easter, White

DAILY EUCHARIST
Acts 1:1-11
Psalm 47 or 93
Ephesians 1:15-23
Luke 24:44-53

DAILY PRAYER: New Life: The Spirit
Daniel 7:9-14
Hebrews 2:5-18
Matthew 28:16-20"
Friday after Sixth Sunday of Easter,2018-05-11,,,,TRUE,"Week of Easter 6
Friday after Sixth Sunday of Easter, White

DAILY EUCHARIST
Acts 18:9-18
Psalm 47:1-6
John 16:20-24

DAILY PRAYER: New Life: The Spirit
1 Samuel 2:1-10
Ephesians 2:1-10
Matthew 7:22-27
"
"Thomas Rattray, Bishop, 1743 [6] White (Ordination of the Rt Revd Dr John Armes, Bishop of Edinburgh, 2012)",2018-05-12,,,,TRUE,"Week of Easter 6
Thomas Rattray, Bishop, 1743 [6] White
Saturday after Sixth Sunday of Easter, White
(Ordination of the Rt Revd Dr John Armes, Bishop of Edinburgh, 2012)

DAILY EUCHARIST
Acts 18:23-28
Psalm 47:1-2, 7-10
John 16:23b-28

DAILY PRAYER: New Life: The Spirit
Numbers 11:16-17, 24-29
Ephesians 2:11-22
Matthew 7:28 - 8:4
"
Seventh Sunday of Easter [1] White; SPB Sunday after Ascension Day,2018-05-13,,,,TRUE,"Week of Easter 7
Seventh Sunday of Easter [1] White
SPB Sunday after Ascension Day

EUCHARIST
Acts 1:6-14
Psalm 68:1-10, 32-35
1 Peter 4:12-14; 5:6-11
John 17:1-11

DAILY PRAYER: New Life: The Spirit
Isaiah 61:1-11
Ephesians 4:7-16
Luke 4:14-21

ALTERNATIVE PSALMS
Morning: Psalm 47
Evening: Psalm 147:1-11"
"Matthias, Apostle [4] Red",2018-05-14,,,,TRUE,"Matthias, Apostle [4] Red

EUCHARIST
Isaiah 22:15-25
Psalm 15
Acts 1:15-26 or Philippians 3:13b-22
John 15:(6-8), 9-17

MORNING PRAYER: Festivals
1 Samuel 16:1-13
1 John 2:18-25

EVENING PRAYER: Festivals
1 Samuel 12:1-5
Acts 20:17-35

---

Week of Easter 7
Monday after Seventh Sunday of Easter, White

DAILY EUCHARIST
Acts 19:1-10
Psalm 68:1-6
John 16:29-33

DAILY PRAYER: New Life: The Spirit
Joshua 1:1-9
Ephesians 3:1-13
Matthew 8:5-17"
Tuesday after Seventh Sunday of Easter,2018-05-15,,,,TRUE,"Week of Easter 7
Tuesday after Seventh Sunday of Easter, White

DAILY EUCHARIST
Acts 20:17-27
Psalm 68:7-20
John 17:1-11a

DAILY PRAYER: New Life: The Spirit
1 Samuel 16:1-13a
Ephesians 3:14-21
Matthew 8:18-27"
Wednesday after Seventh Sunday of Easter,2018-05-16,,,,TRUE,"Week of Easter 7
Wednesday after Seventh Sunday of Easter, White

DAILY EUCHARIST
Acts 20:28-38
Psalm 68:28-36
John 17:11b-19

DAILY PRAYER: New Life: The Spirit
Isaiah 4:2-6
Ephesians 4:1-16
Matthew 8:28-34"
Thursday after Seventh Sunday of Easter,2018-05-17,,,,TRUE,"Week of Easter 7
Thursday after Seventh Sunday of Easter, White

DAILY EUCHARIST
Acts 22:30; 23:6-11
Psalm 16
John 17:20-26

DAILY PRAYER: New Life: The Spirit
Zechariah 4:1-14
Ephesians 4:17-32
Matthew 9:1-8"
Friday after Seventh Sunday of Easter,2018-05-18,,,,TRUE,"Week of Easter 7
Friday after Seventh Sunday of Easter, White

DAILY EUCHARIST
Acts 25:13-21
Psalm 103:1-2, 19-22
John 21:15-19

DAILY PRAYER: New Life: The Spirit
Jeremiah 31:27-34
Ephesians 5:1-20
Matthew 9:9-17"
Saturday after Seventh Sunday of Easter,2018-05-19,,,,TRUE,"Week of Easter 7
Saturday after Seventh Sunday of Easter, White

DAILY EUCHARIST
Acts 28:16-20, 30-31
Psalm 11
John 21:20-25

MORNING PRAYER: New Life: The Spirit
Morning:
Ezekiel 36:22-27
Ephesians 6:10-24
Matthew 9:18-26

EVENING PRAYER: New Life: The Spirit
Exodus 19:3-8a, 16-20
1 Peter 2:4-10"
The Day of Pentecost (Whitsunday) [1] Red,2018-05-20,,,,TRUE,"Week of Proper 7
The Day of Pentecost (Whitsunday) [1] Red

EUCHARIST
Acts 2:1-21 or Ezekiel 37:1-14
Psalm 104:24-34, 35b
Romans 8:22-27 or Acts 2:1-21
John 15:26-27; 16:4b-15

DAILY PRAYER: New Life: The Spirit
Ezekiel 36:22-28
Acts 2:22-38
John 20:19-23

ALTERNATIVE PSALMS
Morning: Psalm 67
Evening: Psalm 139:1-12"
"Helena, c.330 [6] White",2018-05-21,,,,TRUE,"Week of Proper 7 (if after Pentecost)
Helena, c.330 [6] White
Monday after the Day of Pentecost (Whitsunday), Green

DAILY EUCHARIST
James 3:13-18
Psalm 19:7-14
Mark 9:14-29

DAILY PRAYER: Week A
Proverbs 3:11-20
1 John 3:18 - 4:6
Matthew 11:1-6"
Tuesday after the Day of Pentecost (Whitsunday),2018-05-22,,,,TRUE,"Week of Proper 7 (if after Pentecost)
Tuesday after the Day of Pentecost (Whitsunday), Green

DAILY EUCHARIST
James 4:1-10
Psalm 51:11-18
Mark 9: 30-37

DAILY PRAYER: Week A
Proverbs 4:1-27
1 John 4:7-21
Matthew 11:7-15"
"William of Perth (or Rochester), 1201 [6] White (Ember Day)",2018-05-23,,,,TRUE,"Week of Proper 7 (if after Pentecost)
William of Perth (or Rochester), 1201 [6] White
Wednesday after the Day of Pentecost (Whitsunday), Green

DAILY EUCHARIST
James 4:13-17
Psalm 49:1-9, 16-20
Mark 9: 38-41

DAILY PRAYER: Week A
Proverbs 6:1-19
1 John 5:1-12
Matthew 11:16-24

---

Ember Day (Wednesday after Pentecost)
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19"
Thursday after the Day of Pentecost (Whitsunday),2018-05-24,,,,TRUE,"Week of Proper 7 (if after Pentecost)
Thursday after the Day of Pentecost (Whitsunday), Green

DAILY EUCHARIST
James 5:1-6
Psalm 49:12-19
Mark 9: 9:42-50

DAILY PRAYER: Week A
Proverbs 7:1-27
1 John 5:13-21
Matthew 11:25-30"
"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",2018-05-25,,,,TRUE,"Week of Proper 7 (if after Pentecost)
Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White
Friday after the Day of Pentecost (Whitsunday), Green

DAILY EUCHARIST
James 5:9-12
Psalm 103:1-4, 8-13
Mark 10:1-12

DAILY PRAYER: Week A
Proverbs 8:1-21
2 John 1-13
Matthew 12:1-14

---

Ember Day (Friday after Pentecost)
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21"
"Augustine of Canterbury, Bishop, c.604 [6] White (Ember Day) Eve of Trinity Sunday",2018-05-26,,,,TRUE,"Week of Proper 7 (if after Pentecost)
Augustine of Canterbury, Bishop, c.604 [6] White
Saturday after the Day of Pentecost (Whitsunday), Green
Eve of Trinity Sunday

DAILY EUCHARIST
James 5:13-20
Psalm 141
Mark 10:13-16

MORNING PRAYER: Week A
Proverbs 8:22-36
3 John 1-15
Matthew 12:15-21

EVENING PRAYER: Week A
(Evening before Trinity Sunday)
Sirach 42:15-25
Ephesians 3:14-21

---

Ember Day (Saturday after Pentecost)
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27"
Trinity Sunday [2] White; Pentecost 1,2018-05-27,,,,TRUE,"Week of Proper 8 (if after Pentecost)
Trinity Sunday [2] White
Pentecost 1

EUCHARIST
Isaiah 6:1-8
Psalm 29
Romans 8:12-17
John 3:1-17

DAILY PRAYER: Festivals
Ezekiel 1:4-10, 22-28a
Revelation 4:1-11
Mark 1:1-13

ALTERNATIVE PSALMS
Morning: Psalms 93 and 150
Evening: Psalm 104:1-9"
Monday after Trinity Sunday,2018-05-28,,,,TRUE,"Week of Proper 8 (if after Pentecost)
Monday after Trinity Sunday, Green

DAILY EUCHARIST
1 Peter 1:3-9
Psalm 111
Mark 10:17-27

DAILY PRAYER: Week B
Proverbs 10:1-12
1 Timothy 1:1-17
Matthew 12:22-32

---

Note: On the weekdays which follow Trinity Sunday, including Corpus Christi, the readings at Daily Prayer are taken from the numbered Proper (between 7 and 12) which corresponds most closely to the date of Trinity Sunday."
Tuesday after Trinity Sunday,2018-05-29,,,,TRUE,"Week of Proper 8 (if after Pentecost)
Tuesday after Trinity Sunday, Green

DAILY EUCHARIST
1 Peter 1:10-16
Psalm 98
Mark 10:28-31

DAILY PRAYER: Week B
Deuteronomy 4:15-24
2 Corinthians 1:12-22
Luke 15:1-10"
Wednesday after Trinity Sunday,2018-05-30,,,,TRUE,"Week of Proper 8 (if after Pentecost)
Wednesday after Trinity Sunday, Green

DAILY EUCHARIST
1 Peter 1:18-21
Psalm 147:13-21
Mark 10:32-45

DAILY PRAYER: Week B
Deuteronomy 4:25-31
2 Corinthians 1:23 - 2:17
Luke 15:1-2, 11-31"
Corpus Christi (Thanksgiving for Holy Communion) [5] White,2018-05-31,,,,TRUE,"Week of Proper 8 (if after Pentecost)
Corpus Christi (Thanksgiving for Holy Communion) [5] White

DAILY EUCHARIST
Exodus 16:9-15
Psalm 116:12-19
1 Corinthians 10:16-17 or 1 Corinthians 11:23-26
John 6:(51-52), 53-58

DAILY PRAYER: Week B
Proverbs 21:30 - 22:6
1 Timothy 4:1-16
Matthew 13:24-30"
The Visit of Mary to Elizabeth [5] White (translated from 31 May),2018-06-01,,,,TRUE,"The Visit of Mary to Elizabeth [5] White (translated from 31 May)

DAILY EUCHARIST
1 Samuel 2:1-10 or Zephaniah 3:14-18
Psalm 113
Romans 12:9-16b
Luke 1:39-57

MORNING PRAYER: Festivals
1 Samuel 1:1-20
Hebrews 3:1-6

EVENING PRAYERS: Festivals
Zechariah 2:10-13
John 3:25-30

---

Week of Proper 8 (if after Pentecost)
Friday after Trinity Sunday, Green

DAILY EUCHARIST
1 Peter 4:7-13
Psalm 149:1-5
Mark 11:11-26

DAILY PRAYER: Week B
Proverbs 23:19-21, 29 - 24:2
1 Timothy 5:17-22, (23-25)
Matthew 13:31-35
"
"Justin of Rome, Martyr, c.165 [6] Red (translated from 1 June)",2018-06-02,,,,TRUE,"Week of Proper 8 (if after Pentecost) 
Justin of Rome, Martyr, c.165 [6] Red (translated from 1 June)
Saturday after Trinity Sunday, Green

DAILY EUCHARIST
Jude 17-25
Psalm 63:1-8
Mark 11:27-33

DAILY PRAYER: Week B
Proverbs 25:15-28
1 Timothy 6:6-21
Matthew 13:36-43"
Pentecost 2 [3] Green; SPB Trinity 1,2018-06-03,,,,TRUE,"Week of Proper 9 (if after Pentecost)
Pentecost 2 [3] Green
SPB Trinity 1

EUCHARIST: Continuous
1 Samuel 3:1-10, (11-20)
Psalm 139:(1-6), 13-18
2 Corinthians 4:5-12
Mark 2:23 - 3:6

EUCHARIST: Thematic
Deuteronomy 5:12-15
Psalm 81:1-10
2 Corinthians 4:5-12
Mark 2:23 - 3:6

DAILY PRAYER: Week C
1 Kings 19:1-16
1 John 3:1-3
Luke 11:1-13

ALTERNATIVE PSALMS
Morning: Psalm 84
Evening: Psalm 99"
"John XXIII, Bishop of Rome, Reformer, 1963 [6] White",2018-06-04,,,,TRUE,"Week of Proper 9 (if after Pentecost)
John XXIII, Bishop of Rome, Reformer, 1963 [6] White
Monday after Pentecost 2, Green

DAILY EUCHARIST
2 Peter 1:2-7
Psalm 91
Mark 12:1-12

DAILY PRAYER: Week C
Ecclesiastes 1:1-11
Galatians 1:1-17
Matthew 13:44-52"
"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",2018-06-05,,,,TRUE,"Week of Proper 9 (if after Pentecost) 
Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red
Tuesday after Pentecost 2, Green

DAILY EUCHARIST
2 Peter 3:11-18
Psalm 90:1-6, 13-17
Mark 12:13-17

DAILY PRAYER: Week C
Ecclesiastes 2:1-17
Galatians 1:8 - 2:10
Matthew 13:53-58"
"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red (translated from 3 June)",2018-06-06,,,,TRUE,"Week of Proper 9 (if after Pentecost)
Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red (translated from 3 June)
Wednesday after Pentecost 2, Green

DAILY EUCHARIST
2 Timothy 1:1-12
Psalm 123
Mark 12:18-27

DAILY PRAYER: Week C
Ecclesiastes 2:18 - 3:15
Galatians 2:11-21
Matthew 14:1-12"
Thursday after Pentecost 2,2018-06-07,,,,TRUE,"Week of Proper 9 (if after Pentecost)
Thursday after Pentecost 2, Green

DAILY EUCHARIST
2 Timothy 2:8-15
Psalm 25:1-12
Mark 12:28-34

DAILY PRAYER: Week C
Ecclesiastes 3:16 - 4:3
Galatians 3:1-14
Matthew 14:13-21"
"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White",2018-06-08,,,,TRUE,"Week of Proper 9 (if after Pentecost) 
Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White
Friday after Pentecost 2, Green

DAILY EUCHARIST
2 Timothy 3:10-17
Psalm 119:161-168
Mark 12:35-37

DAILY PRAYER: Week C
Ecclesiastes 5:1-7
Galatians 3:15-22
Matthew 14:22-36"
"Columba of Iona, Abbot, 597 [4] White",2018-06-09,,,,TRUE,"Columba of Iona, Abbot, 597 [4] White

EUCHARIST
Isaiah 61:1-3
Psalm 34:1-8 or Psalm 9:22
1 Thessalonians 2:2-12 or Ephesians 4:14-19
Matthew 5:13-16 or Matthew 28:16-20 or Luke 12:32-37

MORNING PRAYER: Festivals
Genesis 12:1-9
Hebrews 11:8-16

EVENING PRAYERS: Festivals
Isaiah 52:7-12
Acts 20:25-35

---

Week of Proper 9 (if after Pentecost)
Saturday after Pentecost 2, Green

DAILY EUCHARIST
2 Timothy 4:1-8
Psalm 71:8-17
Mark 12:38-44

DAILY PRAYER: Week C
Ecclesiastes 5:8-20
Galatians 3:23 - 4:11
Matthew 15:1-20"
Pentecost 3 [3] Green; SPB Trinity 2,2018-06-10,,,,TRUE,"Week of Proper 10 (if after Pentecost)
Pentecost 3 [3] Green
SPB Trinity 2

EUCHARIST: Continuous
1 Samuel 8:4-20; (11:14-15)
Psalm 138
2 Corinthians 4:13 - 5:1
Mark 3:20-35

EUCHARIST: Thematic
Genesis 3:8-15
Psalm 130
2 Corinthians 4:13 - 5:1
Mark 3:20-35

DAILY PRAYER: Week D
Jeremiah 6:16-21
Acts 22:22 - 23:11
Luke 7:11-17

ALTERNATIVE PSALMS
Morning: Psalm 41
Evening: Psalm 37:1-11"
