,Start date,SUBJECT,DESCRIPTION,
Wednesday,2025-06-11,"Barnabus, Apostle [4] Red (Ember day)","Wednesday 11 June 2025

Barnabus, Apostle [4] Red
Ember day
Week of Proper 10
Year C/1

EUCHARIST
Isaiah 45:5-12 or Job 29:11-16
Psalm 112
Acts 11:19-30; (13:1-30)
Matthew 10:7-16 or John 15:12-17

MORNING PRAYER: Festivals
Sirach 31:3-11
Acts 4:32-37

EVENING PRAYER: Festivals
Job 29:11-16
Acts 9:26-31

COLLECT (Barnabus)
Lord God Almighty, 
who filled your holy apostle Barnabas with faith and the Holy Spirit, 
and set him apart to proclaim your word to the nations:
grant us, like him, the same gifts; 
that we may encourage the faint-hearted, 
remember the poor, 
and bring others to know you, the living God; 
for the sake of Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end.

---

Wednesday after the Day of Pentecost (Whitsunday) (Green)
Ember day
Week of Proper 10 
Year C/1

DAILY EUCHARIST
2 Corinthians 3:4-11
Psalm 99
Matthew 5:17-19

DAILY PRAYER: Week A
Deuteronomy 31:30 - 32:14
2 Corinthians 11:21b-33
Luke 19:11-27

EMBER DAY READINGS
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19

COLLECT (Pentecost)
O God, who on the day of Pentecost 
enlightened the hearts of your people 
by the fire of the Holy Spirit:
give us wisdom and understanding, 
and lead us into all truth, 
that your Church may be kept in the unity of the Spirit
and the bond of peace;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the same Spirit, 
one God, world without end.",
Thursday,2025-06-12,"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White","Thursday 12 June 2025

John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White
Thursday after the Day of Pentecost (Whitsunday) (Green)
Ember day
Week of Proper 10
Year C/1

DAILY EUCHARIST
2 Corinthians 3:12 - 4:6
Psalm 85:7-13
Matthew 5:20-26

DAILY PRAYER: Week A
Sirach 44:19 - 45:5
2 Corinthians 12:1-10
Luke 19:28-40

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21

COLLECT (Pentecost)
O God, who on the day of Pentecost 
enlightened the hearts of your people 
by the fire of the Holy Spirit:
give us wisdom and understanding, 
and lead us into all truth, 
that your Church may be kept in the unity of the Spirit
and the bond of peace;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the same Spirit, 
one God, world without end.",
Friday,2025-06-13,Friday after the Day of Pentecost (Whitsunday) (Ember day),"Friday 13 June 2025

Friday after the Day of Pentecost (Whitsunday) (Green)
Ember day
Week of Proper 10
Year C/1

DAILY EUCHARIST
2 Corinthians 4:7-15
Psalm 116:9-17
Matthew 5:27-32

DAILY PRAYER: Week A
Sirach 45:6-16
2 Corinthians 12:11-21
Luke 19:41-48

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27

COLLECT (Pentecost)
O God, who on the day of Pentecost 
enlightened the hearts of your people 
by the fire of the Holy Spirit:
give us wisdom and understanding, 
and lead us into all truth, 
that your Church may be kept in the unity of the Spirit
and the bond of peace;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the same Spirit, 
one God, world without end.",
Saturday,2025-06-14,"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White (Ember day)","Saturday 14 June 2025

Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White
Saturday after the Day of Pentecost (Whitsunday) / Eve of Trinity Sunday (Green)
Ember day
Week of Proper 10
Year C/1

DAILY EUCHARIST
2 Corinthians 5:14-21
Psalm 103:1-12
Matthew 5:33-37

DAILY PRAYER: Week A
Sirach 46:1-10
2 Corinthians 13:1-14
Luke 20:1-8

COLLECT (Pentecost)
O God, who on the day of Pentecost 
enlightened the hearts of your people 
by the fire of the Holy Spirit:
give us wisdom and understanding, 
and lead us into all truth, 
that your Church may be kept in the unity of the Spirit
and the bond of peace;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the same Spirit, 
one God, world without end.",
Sunday,2025-06-15,Trinity Sunday [2] White; Pentecost 1,"Sunday 15 June 2025

Trinity Sunday [2] White; Pentecost 1
Week of Proper 11
Year C/1

EUCHARIST

Continuous:
1 Kings 21:1-10, (11-14), 15-21a
Psalm 5:1-8
Galatians 2:15-21
Luke 7:36 - 8:3

Thematic:
2 Samuel 11:26 - 12:10, 13-15
Psalm 32
Galatians 2:15-21
Luke 7:36 - 8:3

DAILY PRAYER: Festivals
1 Samuel 21:1-16
Romans 9:14-26
Luke 11:14-28

ALTERNATIVE PSALMS
Morning: Psalm 42
Evening: Psalm 39

COLLECT (Trinity Sunday)
Almighty and Everlasting God,
you have given us grace in the profession of true faith
to recognise the glory of the eternal Trinity:
keep us steadfast in this faith
and bring us to see you in your perfect and eternal unity;
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-06-16,Commemoration of Members of the Church who suffered under the Penal Laws (transferred from 15 June),"Monday 16 June 2025

Commemoration of Members of the Church who suffered under the Penal Laws , c.1690-1792 [6] Red (transferred from 15 June)
Monday after Trinity Sunday (Green)
Week of Proper 11
Year C/1

DAILY EUCHARIST
2 Corinthians 6:1-10
Psalm 98
Matthew 5:38-42

DAILY PRAYER: Week B
1 Samuel 1:1-20
Acts 1:1-14
Luke 20:9-19

COLLECT (Trinity Sunday)
Almighty and Everlasting God,
you have given us grace in the profession of true faith
to recognise the glory of the eternal Trinity:
keep us steadfast in this faith
and bring us to see you in your perfect and eternal unity;
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-06-17,Tuesday after Trinity Sunday,"Tuesday 17 June 2025

Tuesday after Trinity Sunday (Green)
Week of Proper 11
Year C/1

DAILY EUCHARIST
2 Corinthians 8:1-9
Psalm 146
Matthew 5:43-48

DAILY PRAYER: Week B
1 Samuel 1:21 - 2:11
Acts 1:15-26
Luke 20:19-26

COLLECT (Trinity Sunday)
Almighty and Everlasting God,
you have given us grace in the profession of true faith
to recognise the glory of the eternal Trinity:
keep us steadfast in this faith
and bring us to see you in your perfect and eternal unity;
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-06-18,"Bernard Mizeki, Martyr, 1896 [6] Red","Wednesday 18 June 2025

Bernard Mizeki, Martyr, 1896 [6] Red
Wednesday after Trinity Sunday (Green)
Week of Proper 11
Year C/1

DAILY EUCHARIST
2 Corinthians 9:6-11
Psalm 112:1-9
Matthew 6:1-6, 16-18

DAILY PRAYER: Week B
1 Samuel 2:12-26
Acts 2:1-21
Luke 20:27-40

COLLECT (Trinity Sunday)
Almighty and Everlasting God,
you have given us grace in the profession of true faith
to recognise the glory of the eternal Trinity:
keep us steadfast in this faith
and bring us to see you in your perfect and eternal unity;
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-06-19,Corpus Christi (Thanksgiving for Holy Communion) [5] White,"Thursday 19 June 2025

Corpus Christi (Thanksgiving for Holy Communion) [5] White
Thursday after Trinity Sunday (Green)
Week of Proper 11
Year C/1

DAILY EUCHARIST
2 Corinthians 11:1-11
Psalm 111
Matthew 6:7-15

DAILY PRAYER: Week B
1 Samuel 2:27-36
Acts 2:22-36
Luke 20:41 - 21:4

COLLECT (Corpus Christi)
For use on the Thursday next after Trinity Sunday (Corpus Christi), and at other appropriate times.

O Lord Jesus Christ, 
who in a wonderful Sacrament 
have left to us a memorial of your passion: 
grant us, we pray, 
so to venerate the sacred mysteries of your Body and Blood, 
that we may ever perceive within ourselves 
the fruits of your redemption; 
who live and reign with God the Father
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-06-20,"Fillan, Abbot, c.750 [6] Red","Friday 20 June 2025

Fillan, Abbot, c.750 [6] Red
Friday after Trinity Sunday (Green)
Week of Proper 11
Year C/1

DAILY EUCHARIST
2 Corinthians 11:18, 21b-30
Psalm 34:1-6
Matthew 6:19-23

DAILY PRAYER: Week B
1 Samuel 3:1-21
Acts 2:37-47
Luke 21:5-19

COLLECT (Trinity Sunday)
Almighty and Everlasting God,
you have given us grace in the profession of true faith
to recognise the glory of the eternal Trinity:
keep us steadfast in this faith
and bring us to see you in your perfect and eternal unity;
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-06-21,Saturday after Trinity Sunday,"Saturday 21 June 2025

Saturday after Trinity Sunday (Green)
Week of Proper 11
Year C/1

DAILY EUCHARIST
2 Corinthians 12:1-10
Psalm 34:7-14
Matthew 6:24-34

DAILY PRAYER: Week B
1 Samuel 4:1b-11
Acts 4:32 - 5:11
Luke 21:20-28

COLLECT (Trinity Sunday)
Almighty and Everlasting God,
you have given us grace in the profession of true faith
to recognise the glory of the eternal Trinity:
keep us steadfast in this faith
and bring us to see you in your perfect and eternal unity;
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-06-22,Pentecost 2 [3] Green; SPB Trinity 1,"Sunday 22 June 2025

Pentecost 2 [3] Green; SPB Trinity 1
Week of Proper 12
Year C/1

EUCHARIST

Continuous:
1 Kings 19:1-4, (5-7), 8-15a
Psalm 42 and/or 43
Galatians 3:23-29
Luke 8:26-39

Thematic:
Isaiah 65:1-9
Psalm 22:19-28
Galatians 3:23-29
Luke 8:26-39

DAILY PRAYER: Week C
1 Samuel 24:1-17
Romans 11:25-36
Luke 14:12-24

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 49

COLLECT (Proper 12)
O Lord, 
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-06-23,"Alban, Martyr, c.303 [6] Red (transferred from 22 June)","Monday 23 June 2025

Alban, Martyr, c.303 [6] Red (transferred from 22 June)
Monday after Pentecost 2 (Green)
Week of Proper 12
Year C/1

DAILY EUCHARIST
Genesis 12:1-9
Psalm 33:12-22
Matthew 7:1-5

DAILY PRAYER: Week C
1 Samuel 5:1-12
Acts 5:12-26
Luke 21:29-36

COLLECT (Proper 12)
O Lord, 
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-06-24,The Birth of John the Baptist [4] White,"Tuesday 24 June 2025

The Birth of John the Baptist [4] White
Week of Proper 12
Year C/1

EUCHARIST
Isaiah 40:1-11
Psalm 85:7-13
Acts 13:14b-26 or Galatians 3:23-29
Luke 1:57-66, (67-79), 80

MORNING PRAYER: Festivals
Malachi 3:1-5
John 3:22-30

EVENING PRAYER: Festivals
Malachi 4:1-6
Matthew 11:2-19

COLLECT (The Birth of John the Baptist)
Almighty God, 
by whose providence John the Baptist was wonderfully born, 
and filled with the Holy Spirit 
to prepare the way of your Son, our Saviour:
give us, we pray, the light of spiritual joy; 
and guide the hearts of all the faithful 
into the way of salvation and peace;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Tuesday after Pentecost 2 (Green)
Week of Proper 12
Year C/1

DAILY EUCHARIST
Genesis 13:2, 5-18
Psalm 15
Matthew 7:6, 12-14

DAILY PRAYER: Week C
1 Samuel 6:1-16
Acts 5:27-42
Luke 21:37 - 22:13

COLLECT (Proper 12)
O Lord, 
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-06-25,"Moluag of Lismore, Bishop, 592 [6] White","Wednesday 25 June 2025

Moluag of Lismore, Bishop, 592 [6] White
Wednesday after Pentecost 2 (Green)
Week of Proper 12
Year C/1

DAILY EUCHARIST
Genesis 15:1-12, 17-18
Psalm 105:1-9
Matthew 7:15-20

DAILY PRAYER: Week C
1 Samuel 7:2-17
Acts 6:1-15
Luke 22:14-23

COLLECT (Proper 12)
O Lord, 
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-06-26,"Robert Leighton, Bishop, 1684 [6] White","Thursday 26 June 2025

Robert Leighton, Bishop, 1684 [6] White
Thursday after Pentecost 2 (Green)
Week of Proper 12
Year C/1

DAILY EUCHARIST
Genesis 16:1-12, 15-16
Psalm 106:1-5
Matthew 7:21-29

DAILY PRAYER: Week C
1 Samuel 8:1-22
Acts 6:15 - 7:16
Luke 22:24-30

COLLECT (Proper 12)
O Lord, 
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-06-27,"Alexander Jolly, Bishop, 1838 [6] White","Friday 27 June 2025

Alexander Jolly, Bishop, 1838 [6] White
Friday after Pentecost 2 (Green)
Week of Proper 12
Year C/1

DAILY EUCHARIST
Genesis 17:9-10, 15-22
Psalm 128
Matthew 8:1-4

DAILY PRAYER: Week C
1 Samuel 9:1-14
Acts 7:17-29
Luke 22:31-38

COLLECT (Proper 12)
O Lord, 
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-06-28,"Irenaeus of Lyons, Bishop and Teacher of the Faith, c.202 [6] White","Saturday 28 June 2025

Irenaeus of Lyons, Bishop and Teacher of the Faith, c.202 [6] White
Saturday after Pentecost 2 (Green)
Week of Proper 12
Year C/1

DAILY EUCHARIST
Genesis 18:1-15
Psalm 123
Matthew 8:5-17

DAILY PRAYER: Week C
1 Samuel 9:15 - 10:1
Acts 7:30-43
Luke 22:39-51

COLLECT (Proper 12)
O Lord, 
in your mercy hear our prayers: 
and as you give us the desire to pray, 
grant us your help and protection; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-06-29,Pentecost 3 [3] Green; SPB Trinity 2,"Sunday 29 June 2025

Pentecost 3 [3] Green; SPB Trinity 2
Week of Proper 13
Year C/1

EUCHARIST

Continuous:
2 Kings 2:1-2, 6-14
Psalm 77:1-2, 11-20
Galatians 5:1, 13-25
Luke 9:51-62

Thematic:
1 Kings 19:15-16, 19-21
Psalm 16
Galatians 5:1, 13-25
Luke 9:51-62

DAILY PRAYER: Week D
1 Samuel 28:3-19
Romans 13:1-10
Luke 17:20-37

ALTERNATIVE PSALMS
Morning: Psalm 50
Evening: Psalm 53

COLLECT (Proper 13)
O God, 
the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-06-30,"Peter, Apostle (or Peter and Paul, Apostles) [4] Red (transferred from 29 June)","Monday 30 June 2025

Peter, Apostle [4] Red (transferred from 29 June)
Week of Proper 13
Year C/1

EUCHARIST
Ezekiel 3:4-11 or Ezekiel 3:22-27
Psalm 125
1 Peter 2:19-25
Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 9:32-43

EVENING PRAYER: Festivals
Ezekiel 34:11-16
John 21:15-22

COLLECT (Peter)
Almighty God,
who inspired your apostle Saint Peter
to confess Jesus as Christ and Son of the living God:
build up your Church upon this rock,
that in unity and peace it may proclaim one truth
and follow one Lord, your Son, our Saviour Jesus Christ;
who lives and reigns with you,
in the unity of the Holy Spirit, 
one God, world without end.
(Common Worship)

or

Peter, Apostle or Peter and Paul, Apostles [4] Red (transferred from 29 June)
Week of Proper 13
Year C/1

EUCHARIST
Ezekiel 34:11-16 or Zechariah 4:1-6a, 10-14
Psalm 125
2 Timothy 4:(1-5), 6-8, 17-18
John 21:15-19 or Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 11:1-18

EVENING PRAYER: Festivals
Isaiah 49:1-6
Galatians 2:1-9

COLLECT (Peter and Paul)
Almighty God, 
whose blessed apostles, Peter and Paul, 
glorified you in their death as in their life:
grant that your Church, instructed by their teaching and example, 
and knit together in unity by your Spirit,
may ever stand firm upon the one foundation, 
which is Jesus Christ, our Lord;
who lives and reigns with you,
in the unity of the Holy Spirit, one God, world without end. 

---

Monday after Pentecost 3 (Green)
Week of Proper 13
Year C/1

DAILY EUCHARIST
Genesis 18:16-33
Psalm 103:1-10
Matthew 8:18-22

DAILY PRAYER: Week D
1 Samuel 10:17-27
Acts 7:44 - 8:1a
Luke 22:52-62

COLLECT (Proper 13)
O God, 
the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-07-01,"Serf, Bishop, c.500 [6] White","Tuesday 1 July 2025

Serf, Bishop, c.500 [6] White
Tuesday after Pentecost 3 (Green)
Week of Proper 13
Year C/1

DAILY EUCHARIST
Genesis 19:15-29
Psalm 26
Matthew 8:23-27

DAILY PRAYER: Week D
1 Samuel 11:1-15
Acts 8:1-13
Luke 22:63-71

COLLECT (Proper 13)
O God, 
the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-07-02,Wednesday after Pentecost 3,"Wednesday 2 July 2025

Wednesday after Pentecost 3 (Green)
Week of Proper 13
Year C/1

DAILY EUCHARIST
Genesis 21:5, 8-20
Psalm 34:1-8
Matthew 8:28-34

DAILY PRAYER: Week D
1 Samuel 12:1-6, 16-25
Acts 8:14-25
Luke 23:1-12

COLLECT (Proper 13)
O God, 
the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2025-07-03,"Thomas, Apostle [4] Red (if not kept on 21 December)","Thursday 3 July 2025

Thomas, Apostle [4] Red (if not kept on 21 December)
Week of Proper 13
Year C/1

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

COLLECT (Thomas)
Almighty and everliving God, 
who strengthened your apostle Thomas 
with faith in the resurrection of your Son: 
grant to us, who have not seen, 
that we also may believe 
and so confess Christ as our Lord and our God; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.

---

Thursday after Pentecost 3 (Green)
Week of Proper 13
Year C/1

DAILY EUCHARIST
Genesis 22:1-14
Psalm 116:1-8
Matthew 9:1-8

DAILY PRAYER: Week D
1 Samuel 13:5-18
Acts 8:26-40
Luke 23:13-25

COLLECT (Proper 13)
O God, 
the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2025-07-04,Friday after Pentecost 3,"Friday 4 July 2025

Friday after Pentecost 3 (Green)
Week of Proper 13
Year C/1

DAILY EUCHARIST
Genesis 23:1-4, 19; 24:1-8, 62-67
Psalm 106:1-5
Matthew 9:9-13

DAILY PRAYER: Week D
1 Samuel 13:19 - 14:15
Acts 9:1-9
Luke 23:26-31

COLLECT (Proper 13)
O God, 
the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2025-07-05,Saturday after Pentecost 3,"Saturday 5 July 2025

Saturday after Pentecost 3 (Green)
Week of Proper 13
Year C/1

DAILY EUCHARIST
Genesis 27:1-9, 15-29
Psalm 135:1-6
Matthew 9:14-17

DAILY PRAYER: Week D
1 Samuel 14:16-30
Acts 9:10-19a
Luke 23:32-43

COLLECT (Proper 13)
O God, 
the protector of all who trust in you, 
without whom nothing can be whole 
and nothing can be holy: 
increase your mercy towards us, 
that, with you as our ruler and guide, 
we may so enjoy the good things of time, 
as not to lose the things of eternity; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2025-07-06,Pentecost 4 [3] Green; SPB Trinity 3,"Sunday 6 July 2025

Pentecost 4 [3] Green; SPB Trinity 3
Week of Proper 14
Year C/1

EUCHARIST

Continuous:
2 Kings 5:1-14
Psalm 30
Galatians 6:(1-6), 7-16
Luke 10:1-11, 16-20

Thematic:
Isaiah 66:10-14
Psalm 66:1-9
Galatians 6:(1-6), 7-16
Luke 10:1-11, 16-20

DAILY PRAYER: Week A
2 Samuel 2:1-11; 3:1
Romans 14:1-17
Luke 18:31 - 19:10

ALTERNATIVE PSALMS
Morning: Psalm 56
Evening: Psalm 64

COLLECT (Proper 14)
O Lord, 
let the world be ordered in peace, 
according to your will: 
that your people may be free to worship you with joy; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-07-07,"Boisil, Prior of Melrose, c.642 [6] White","Monday 7 July 2025

Boisil, Prior of Melrose, c.642 [6] White
Monday after Pentecost 4 (Green)
Week of Proper 14
Year C/1

DAILY EUCHARIST
Genesis 28:10-22
Psalm 91:1-6, 14-16
Matthew 9:18-26

DAILY PRAYER: Week A
1 Samuel 14:36-45
Acts 9:19b-31
Luke 23:44-56a

COLLECT (Proper 14)
O Lord, 
let the world be ordered in peace, 
according to your will: 
that your people may be free to worship you with joy; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-07-08,"Palladius, Bishop, c.450 [6] White (transferred from 6 July)","Tuesday 8 July 2025

Palladius, Bishop, c.450 [6] White (transferred from 6 July)
Tuesday after Pentecost 4 (Green)
Week of Proper 14
Year C/1

DAILY EUCHARIST
Genesis 32:22-32
Psalm 17:1-8
Matthew 9:32-38

DAILY PRAYER: Week A
1 Samuel 15:1-3, 7-35
Acts 9:32-43
Luke 23:56b - 24:11

COLLECT (Proper 14)
O Lord, 
let the world be ordered in peace, 
according to your will: 
that your people may be free to worship you with joy; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-07-09,Wednesday after Pentecost 4,"Wednesday 9 July 2025

Wednesday after Pentecost 4 (Green)
Week of Proper 14
Year C/1

DAILY EUCHARIST
Genesis 41:55-57; 42:5-7a, 17-24a
Psalm 33:1-4, 18-22
Matthew 10:1-7

DAILY PRAYER: Week A
1 Samuel 16:1-13
Acts 10:1-16
Luke 24:13-35

COLLECT (Proper 14)
O Lord, 
let the world be ordered in peace, 
according to your will: 
that your people may be free to worship you with joy; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-07-10,Thursday after Pentecost 4,"Thursday 10 July 2025

Thursday after Pentecost 4 (Green)
Week of Proper 14
Year C/1

DAILY EUCHARIST
Genesis 44:18 - 45:5
Psalm 105:7-21
Matthew 10:7-15

DAILY PRAYER: Week A
1 Samuel 16:14 - 17:11
Acts 10:17-33
Luke 24:36-53

COLLECT (Proper 14)
O Lord, 
let the world be ordered in peace, 
according to your will: 
that your people may be free to worship you with joy; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-07-11,"Benedict of Nursia, Abbot, c.550 [6] White","Friday 11 July 2025

Benedict of Nursia, Abbot, c.550 [6] White
Friday after Pentecost 4 (Green)
Week of Proper 14
Year C/1

DAILY EUCHARIST
Genesis 46:1-7, 28-30
Psalm 37:3-4, 19-20, 28-29, 41-42
Matthew 10:16-23

DAILY PRAYER: Week A
1 Samuel 17:17-30
Acts 10:34-38
Mark 1:1-13

COLLECT (Proper 14)
O Lord, 
let the world be ordered in peace, 
according to your will: 
that your people may be free to worship you with joy; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-07-12,"Drostan of Deer, Abbot, c.600 [6] White","Saturday 12 July 2025

Drostan of Deer, Abbot, c.600 [6] White
Saturday after Pentecost 4 (Green)
Week of Proper 14
Year C/1

DAILY EUCHARIST
Genesis 49:29-33
Psalm 105:1-7
Matthew 10:24-33

DAILY PRAYER: Week A
1 Samuel 17:31-49
Acts 11:1-18
Mark 1:14-28

COLLECT (Proper 14)
O Lord, 
let the world be ordered in peace, 
according to your will: 
that your people may be free to worship you with joy; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-07-13,Pentecost 5 [3] Green; SPB Trinity 4,"Sunday 13 July 2025

Pentecost 5 [3] Green; SPB Trinity 4
Week of Proper 15
Year C/1

EUCHARIST

Continuous:
Amos 7:7-17
Psalm 82
Colossians 1:1-14
Luke 10:25-37

Thematic:
Deuteronomy 30:9-14
Psalm 25:1-10
Colossians 1:1-14
Luke 10:25-37

DAILY PRAYER: Week B
2 Samuel 7:18-29
Romans 15:14-29
Luke 19:41 - 20:8

ALTERNATIVE PSALMS
Morning: Psalm 60
Evening: Psalm 66

COLLECT (Proper 15)
O God, 
you have prepared for those who love you 
good things no eye has seen: 
pour into our hearts such love of you, 
that, by loving you in all things and above all things, 
we may be worthy of your promises, 
which surpass all we can desire; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-07-14,Monday after Pentecost 5,"Monday 14 July 2025

Monday after Pentecost 5 (Green)
Week of Proper 15
Year C/1

DAILY EUCHARIST
Exodus 1:8-14, 22
Psalm 124
Matthew 10:34 - 11:1

DAILY PRAYER: Week B
1 Samuel 18:5-16, 27b-30
Acts 11:19-30
Mark 1:29-45

COLLECT (Proper 15)
O God, 
you have prepared for those who love you 
good things no eye has seen: 
pour into our hearts such love of you, 
that, by loving you in all things and above all things, 
we may be worthy of your promises, 
which surpass all we can desire; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
